"Drug"	"CID"	"ATC"	"miRNA"	"Gene"
"acebutolol"	"CID100001978"	"C07"	"miR-32"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7e"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-101"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-520a-3p"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-30e"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-363"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-92b"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7f"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-367"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-520b"	"ADRB1"
"acetaminophen"	"CID100001983"	"N02"	"miR-371-5p"	"UGT1A6"
"acetaminophen"	"CID100001983"	"N02"	"miR-371-5p"	"UGT1A1"
"acetaminophen"	"CID100001983"	"N02"	"miR-451"	"ABCB1"
"acetaminophen"	"CID100001983"	"N02"	"miR-22"	"PTGS1"
"acetaminophen"	"CID100001983"	"N02"	"miR-371-5p"	"UGT1A9"
"acetaminophen"	"CID100001983"	"N02"	"miR-504"	"PTGS1"
"acetaminophen"	"CID100001983"	"N02"	"miR-331-5p"	"ABCB1"
"acetaminophen"	"CID100001983"	"N02"	"miR-27b"	"CYP3A4"
"acetaminophen"	"CID100001983"	"N02"	"miR-200c"	"ABCB1"
"acetaminophen"	"CID100001983"	"N02"	"miR-27a"	"ABCB1"
"acetaminophen"	"CID100001983"	"N02"	"miR-221"	"ABCB1"
"acetaminophen"	"CID100001983"	"N02"	"miR-222"	"ABCB1"
"acetazolamide"	"CID100001986"	"S01"	"miR-23a"	"CA2"
"acetazolamide"	"CID100001986"	"S01"	"miR-23b"	"CA2"
"acetylcholine"	"CID100000187"	"S01"	"miR-1271"	"SLC18A3"
"acetylcholine"	"CID100000187"	"S01"	"miR-130b"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-181d"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-19a"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-214"	"NOS3"
"acetylcholine"	"CID100000187"	"S01"	"miR-96"	"SLC18A3"
"acetylcholine"	"CID100000187"	"S01"	"miR-129-5p"	"CHRNA3"
"acetylcholine"	"CID100000187"	"S01"	"miR-301a"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-125b"	"ACHE"
"acetylcholine"	"CID100000187"	"S01"	"miR-301b"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-370"	"CHRNA7"
"acetylcholine"	"CID100000187"	"S01"	"miR-130a"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-454"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-181b"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-19b"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-181c"	"TNF"
"acetylcholine"	"CID100000187"	"S01"	"miR-125a-5p"	"ACHE"
"acetylcholine"	"CID100000187"	"S01"	"miR-181a"	"TNF"
"adenosine"	"CID100000191"	"J05"	"miR-30b"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-544"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-19a"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-371-5p"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-19b"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-145"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-202"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-130b"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-758"	"AHCY"
"adenosine"	"CID100000191"	"J05"	"miR-424"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-203"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-613"	"NP"
"adenosine"	"CID100000191"	"J05"	"miR-30d"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-506"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-301a"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-203"	"ADK"
"adenosine"	"CID100000191"	"J05"	"miR-214"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-485-5p"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-130a"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-15a"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-124"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-141"	"AMPD2"
"adenosine"	"CID100000191"	"J05"	"miR-200a"	"AMPD2"
"adenosine"	"CID100000191"	"J05"	"miR-16"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-301b"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-107"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-193a-3p"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-9"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-135a"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-202"	"NP"
"adenosine"	"CID100000191"	"J05"	"miR-410"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-1"	"NP"
"adenosine"	"CID100000191"	"J05"	"miR-195"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-454"	"HPRT1"
"adenosine"	"CID100000191"	"J05"	"miR-133a"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-106b"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-144"	"AHCY"
"adenosine"	"CID100000191"	"J05"	"miR-506"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-145"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-30c"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-497"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-206"	"NP"
"adenosine"	"CID100000191"	"J05"	"miR-24"	"ADORA1"
"adenosine"	"CID100000191"	"J05"	"miR-33a"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-93"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-17"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-340"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-124"	"MTR"
"adenosine"	"CID100000191"	"J05"	"miR-103"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-30e"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-421"	"NT5C1B"
"adenosine"	"CID100000191"	"J05"	"miR-15b"	"ADORA2A"
"adenosine"	"CID100000191"	"J05"	"miR-20b"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-20a"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-106a"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-499-5p"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-135b"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-155"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-193b"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-30a"	"NT5E"
"adenosine"	"CID100000191"	"J05"	"miR-519d"	"AMPD3"
"adenosine"	"CID100000191"	"J05"	"miR-33b"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-133b"	"ADCYAP1"
"adenosine"	"CID100000191"	"J05"	"miR-219-5p"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-30b"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-544"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-19a"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-371-5p"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-19b"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-145"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-202"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-130b"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-758"	"AHCY"
"adenosine"	"CID100000191"	"C01"	"miR-424"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-203"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-613"	"NP"
"adenosine"	"CID100000191"	"C01"	"miR-30d"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-506"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-301a"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-203"	"ADK"
"adenosine"	"CID100000191"	"C01"	"miR-214"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-485-5p"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-130a"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-15a"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-124"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-141"	"AMPD2"
"adenosine"	"CID100000191"	"C01"	"miR-200a"	"AMPD2"
"adenosine"	"CID100000191"	"C01"	"miR-16"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-301b"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-107"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-193a-3p"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-9"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-135a"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-202"	"NP"
"adenosine"	"CID100000191"	"C01"	"miR-410"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-1"	"NP"
"adenosine"	"CID100000191"	"C01"	"miR-195"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-454"	"HPRT1"
"adenosine"	"CID100000191"	"C01"	"miR-133a"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-106b"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-144"	"AHCY"
"adenosine"	"CID100000191"	"C01"	"miR-506"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-145"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-30c"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-497"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-206"	"NP"
"adenosine"	"CID100000191"	"C01"	"miR-24"	"ADORA1"
"adenosine"	"CID100000191"	"C01"	"miR-33a"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-93"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-17"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-340"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-124"	"MTR"
"adenosine"	"CID100000191"	"C01"	"miR-103"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-30e"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-421"	"NT5C1B"
"adenosine"	"CID100000191"	"C01"	"miR-15b"	"ADORA2A"
"adenosine"	"CID100000191"	"C01"	"miR-20b"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-20a"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-106a"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-499-5p"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-135b"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-155"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-193b"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-30a"	"NT5E"
"adenosine"	"CID100000191"	"C01"	"miR-519d"	"AMPD3"
"adenosine"	"CID100000191"	"C01"	"miR-33b"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-133b"	"ADCYAP1"
"adenosine"	"CID100000191"	"C01"	"miR-219-5p"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-30b"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-544"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-19a"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-371-5p"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-19b"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-145"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-202"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-130b"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-758"	"AHCY"
"adenosine"	"CID100000191"	"S01"	"miR-424"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-203"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-613"	"NP"
"adenosine"	"CID100000191"	"S01"	"miR-30d"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-506"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-301a"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-203"	"ADK"
"adenosine"	"CID100000191"	"S01"	"miR-214"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-485-5p"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-130a"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-15a"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-124"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-141"	"AMPD2"
"adenosine"	"CID100000191"	"S01"	"miR-200a"	"AMPD2"
"adenosine"	"CID100000191"	"S01"	"miR-16"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-301b"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-107"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-193a-3p"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-9"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-135a"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-202"	"NP"
"adenosine"	"CID100000191"	"S01"	"miR-410"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-1"	"NP"
"adenosine"	"CID100000191"	"S01"	"miR-195"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-454"	"HPRT1"
"adenosine"	"CID100000191"	"S01"	"miR-133a"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-106b"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-144"	"AHCY"
"adenosine"	"CID100000191"	"S01"	"miR-506"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-145"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-30c"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-497"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-206"	"NP"
"adenosine"	"CID100000191"	"S01"	"miR-24"	"ADORA1"
"adenosine"	"CID100000191"	"S01"	"miR-33a"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-93"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-17"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-340"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-124"	"MTR"
"adenosine"	"CID100000191"	"S01"	"miR-103"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-30e"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-421"	"NT5C1B"
"adenosine"	"CID100000191"	"S01"	"miR-15b"	"ADORA2A"
"adenosine"	"CID100000191"	"S01"	"miR-20b"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-20a"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-106a"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-499-5p"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-135b"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-155"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-193b"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-30a"	"NT5E"
"adenosine"	"CID100000191"	"S01"	"miR-519d"	"AMPD3"
"adenosine"	"CID100000191"	"S01"	"miR-33b"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-133b"	"ADCYAP1"
"adenosine"	"CID100000191"	"S01"	"miR-219-5p"	"ADCYAP1"
"alendronate"	"CID100002088"	"M05"	"miR-302e"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-520b"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-124"	"VDR"
"alendronate"	"CID100002088"	"M05"	"let-7f"	"FDPS"
"alendronate"	"CID100002088"	"M05"	"miR-302a"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-520c-3p"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-302b"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-544"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-520d-3p"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-372"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-506"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-23a"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-302d"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-302c"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-125a-5p"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-373"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-92a"	"ESR2"
"alendronate"	"CID100002088"	"M05"	"miR-125b"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-23b"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-520e"	"VDR"
"alendronate"	"CID100002088"	"M05"	"miR-520a-3p"	"VDR"
"alprazolam"	"CID100002118"	"N05"	"miR-218"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-33b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-362-3p"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-101"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-33a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-376c"	"GABRG2"
"alprazolam"	"CID100002118"	"N05"	"miR-455-5p"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-144"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-329"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-135a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-203"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-155"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-499-5p"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-135b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-181d"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-208b"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-454"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-10a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-208a"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-216a"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-23b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-384"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-221"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-181c"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-10b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-9"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-21"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-448"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-130a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-181a"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-181b"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-137"	"GABRA1"
"alprazolam"	"CID100002118"	"N05"	"miR-301b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-301a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-543"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-19b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-590-5p"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-23a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-27b"	"CYP3A4"
"alprazolam"	"CID100002118"	"N05"	"miR-150"	"GABRG2"
"alprazolam"	"CID100002118"	"N05"	"miR-19a"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-130b"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-103"	"GABRG2"
"alprazolam"	"CID100002118"	"N05"	"miR-107"	"GABRG2"
"alprazolam"	"CID100002118"	"N05"	"miR-203"	"GABRB2"
"alprazolam"	"CID100002118"	"N05"	"miR-222"	"GABRA1"
"amifostine"	"CID100002141"	"V03"	"miR-27b"	"CYP3A4"
"amiodarone"	"CID100002156"	"C01"	"miR-320a"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-122"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-451"	"ABCB1"
"amiodarone"	"CID100002156"	"C01"	"miR-320b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-342-3p"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-26b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-520c-3p"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-197"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-222"	"ABCB1"
"amiodarone"	"CID100002156"	"C01"	"miR-320d"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-497"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-143"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-15b"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-219-5p"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-520e"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-30d"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-373"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-200c"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-429"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-520a-3p"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-33b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-367"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-140-5p"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-1297"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-331-5p"	"ABCB1"
"amiodarone"	"CID100002156"	"C01"	"miR-206"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-195"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-92a"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-27b"	"CYP3A4"
"amiodarone"	"CID100002156"	"C01"	"miR-221"	"ABCB1"
"amiodarone"	"CID100002156"	"C01"	"miR-365"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-27b"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-27a"	"ABCB1"
"amiodarone"	"CID100002156"	"C01"	"miR-26a"	"CACNA1C"
