"Gene","miRNA","Drug"
"ABCC1","hsa-mir-6508","atorvastatin"
"ABCC1","hsa-mir-6508","methotrexate"
"ABCC1","hsa-mir-6508","irinotecan"
"ABCC1","hsa-mir-6508","cisplatin"
"ABCC1","hsa-mir-6508","doxorubicin"
"ABCC1","hsa-mir-6508","vincristine"
"ABCC1","hsa-mir-6508","digoxin"
"ABCC1","hsa-mir-6508","estrone"
"ABCC1","hsa-mir-6508","leucovorin"
"ABCC1","hsa-mir-6508","probenecid"
"ABCC1","hsa-mir-6508","vinblastine"
"ABCC1","hsa-mir-6508","etoposide"
"ABCC1","hsa-mir-6508","montelukast"
"ABCC1","hsa-mir-6508","colchicine"
"ABCC1","hsa-mir-6508","chlorambucil"
"ABCC3","hsa-mir-486-1","teniposide"
"ABCC3","hsa-mir-486-1","leucovorin"
"ABCC3","hsa-mir-486-1","methotrexate"
"ABCC3","hsa-mir-486-1","irinotecan"
"ABCC3","hsa-mir-486-1","etoposide"
"ABCC3","hsa-mir-486-1","gemcitabine"
"ABCC3","hsa-mir-486-1","glycine"
"ABCC3","hsa-mir-486-1","cisplatin"
"ABCG2","hsa-mir-1260b","cyclophosphamide"
"ABCG2","hsa-mir-1260b","methotrexate"
"ABCG2","hsa-mir-1260b","etoposide"
"ABCG2","hsa-mir-1260b","cisplatin"
"ABCG2","hsa-mir-1260b","atorvastatin"
"ABCG2","hsa-mir-1260b","pravastatin"
"ABCG2","hsa-mir-1260b","digoxin"
"ABCG2","hsa-mir-1260b","mitoxantrone"
"ABCG2","hsa-mir-1260b","carbamazepine"
"ABCG2","hsa-mir-1260b","doxorubicin"
"ABCG2","hsa-mir-1260b","vincristine"
"ABCG2","hsa-mir-1260b","imatinib"
"ABCG2","hsa-mir-1260b","glibenclamide"
"ABCG2","hsa-mir-1260b","tacrolimus"
"ABCG2","hsa-mir-1260b","gemcitabine"
"ABCG2","hsa-mir-1260b","fluvastatin"
"ABCG2","hsa-mir-1260b","paclitaxel"
"ABCG2","hsa-mir-1260b","topotecan"
"ABCG2","hsa-mir-1260b","metformin"
"ABCG2","hsa-mir-1260b","cytarabine"
"ABCG2","hsa-mir-1260b","docetaxel"
"ABCG2","hsa-mir-1260b","irinotecan"
"ABCG2","hsa-mir-1260b","leucovorin"
"ACOX1","hsa-mir-3200","fenofibrate"
"ACP2","hsa-mir-130b","methotrexate"
"ACP2","hsa-mir-26b","methotrexate"
"ACP2","hsa-mir-210","methotrexate"
"ACVR2B","hsa-let-7f-2","lamivudine"
"ACVR2B","hsa-let-7f-1","lamivudine"
"ADCY1","hsa-mir-496","progesterone"
"ADCY1","hsa-mir-496","glucose"
"ADCY1","hsa-mir-496","dopamine"
"ADCY1","hsa-mir-496","salmeterol"
"ADCY2","hsa-mir-25","salmeterol"
"ADK","hsa-mir-592","adenosine"
"ADM","hsa-mir-1296","fluoxetine"
"ADM","hsa-mir-1296","citalopram"
"ADM","hsa-mir-1296","paroxetine"
"ADORA1","hsa-mir-590","adenosine"
"ADORA1","hsa-mir-590","caffeine"
"ADORA1","hsa-mir-590","estradiol"
"ADORA1","hsa-mir-590","theophylline"
"ADORA1","hsa-mir-590","methotrexate"
"ADORA2A","hsa-mir-6777","theophylline"
"ADORA2A","hsa-mir-6777","caffeine"
"ADORA2A","hsa-mir-6777","methotrexate"
"ADORA2A","hsa-mir-6777","adenosine"
"ADORA2B","hsa-mir-484","caffeine"
"ADORA2B","hsa-mir-484","methotrexate"
"ADORA2B","hsa-mir-484","theophylline"
"AMPD3","hsa-mir-15a","adenosine"
"ANPEP","hsa-mir-6882","cytarabine"
"ANPEP","hsa-mir-6882","methotrexate"
"ANPEP","hsa-mir-199b","cytarabine"
"ANPEP","hsa-mir-199b","methotrexate"
"ANPEP","hsa-mir-199a-2","cytarabine"
"ANPEP","hsa-mir-199a-2","methotrexate"
"ANXA1","hsa-mir-5002","flunisolide"
"ANXA1","hsa-mir-5002","prednisone"
"ANXA1","hsa-mir-5002","triamcinolone"
"ANXA1","hsa-mir-5002","beclomethasone"
"ANXA1","hsa-mir-5002","budesonide"
"ANXA1","hsa-mir-5002","methylprednisolone"
"ANXA1","hsa-mir-5002","prednisolone"
"ANXA1","hsa-mir-5002","dexamethasone"
"ANXA1","hsa-mir-5002","desonide"
"ANXA1","hsa-mir-5002","hydrocortisone"
"ANXA1","hsa-mir-23a","flunisolide"
"ANXA1","hsa-mir-23a","prednisone"
"ANXA1","hsa-mir-23a","triamcinolone"
"ANXA1","hsa-mir-23a","beclomethasone"
"ANXA1","hsa-mir-23a","budesonide"
"ANXA1","hsa-mir-23a","methylprednisolone"
"ANXA1","hsa-mir-23a","prednisolone"
"ANXA1","hsa-mir-23a","dexamethasone"
"ANXA1","hsa-mir-23a","desonide"
"ANXA1","hsa-mir-23a","hydrocortisone"
"ANXA1","hsa-mir-425","flunisolide"
"ANXA1","hsa-mir-425","prednisone"
"ANXA1","hsa-mir-425","triamcinolone"
"ANXA1","hsa-mir-425","beclomethasone"
"ANXA1","hsa-mir-425","budesonide"
"ANXA1","hsa-mir-425","methylprednisolone"
"ANXA1","hsa-mir-425","prednisolone"
"ANXA1","hsa-mir-425","dexamethasone"
"ANXA1","hsa-mir-425","desonide"
"ANXA1","hsa-mir-425","hydrocortisone"
"AP1S2","hsa-mir-181a-1","methotrexate"
"APLNR","hsa-mir-190b","estradiol"
"APLNR","hsa-mir-190b","estrone"
"APLNR","hsa-mir-5581","estradiol"
"APLNR","hsa-mir-5581","estrone"
"APLNR","hsa-mir-219b","estradiol"
"APLNR","hsa-mir-219b","estrone"
"APP","hsa-mir-508","methotrexate"
"APP","hsa-mir-508","epinephrine"
"APP","hsa-mir-134","methotrexate"
"APP","hsa-mir-134","epinephrine"
"AR","hsa-mir-600","testosterone"
"ARHGAP5","hsa-mir-5699","methotrexate"
"ARID1A","hsa-mir-5684","budesonide"
"ARID1A","hsa-mir-5684","prednisone"
"ARID1A","hsa-mir-5684","desonide"
"ARID1A","hsa-mir-5684","hydrocortisone"
"ARID1A","hsa-mir-5684","beclomethasone"
"ARID1A","hsa-mir-5684","prednisolone"
"ARID1A","hsa-mir-5684","triamcinolone"
"ARID1A","hsa-mir-5684","flunisolide"
"ARID1A","hsa-mir-5684","dexamethasone"
"ARID1A","hsa-mir-5684","methylprednisolone"
"ARID1A","hsa-mir-146a","budesonide"
"ARID1A","hsa-mir-146a","prednisone"
"ARID1A","hsa-mir-146a","desonide"
"ARID1A","hsa-mir-146a","hydrocortisone"
"ARID1A","hsa-mir-146a","beclomethasone"
"ARID1A","hsa-mir-146a","prednisolone"
"ARID1A","hsa-mir-146a","triamcinolone"
"ARID1A","hsa-mir-146a","flunisolide"
"ARID1A","hsa-mir-146a","dexamethasone"
"ARID1A","hsa-mir-146a","methylprednisolone"
"ARL4C","hsa-mir-1247","methotrexate"
"ARRB2","hsa-mir-4636","isoproterenol"
"ARRB2","hsa-mir-4636","methadone"
"ATAD5","hsa-mir-423","cisplatin"
"ATP1A2","hsa-mir-190b","digoxin"
"ATP1A2","hsa-mir-182","digoxin"
"BATF3","hsa-mir-152","tacrolimus"
"BATF3","hsa-mir-6758","tacrolimus"
"BATF3","hsa-mir-769","tacrolimus"
"BAX","hsa-mir-500a","methotrexate"
"BAX","hsa-mir-500a","tacrolimus"
"BAX","hsa-mir-500a","gemcitabine"
"BAX","hsa-mir-500a","cisplatin"
"BDNF","hsa-mir-3152","imipramine"
"BDNF","hsa-mir-3152","chlorpromazine"
"BDNF","hsa-mir-3152","chlordiazepoxide"
"BDNF","hsa-mir-3152","cocaine"
"BDNF","hsa-mir-3152","fluoxetine"
"BRCA1","hsa-mir-769","mifepristone"
"BRCA1","hsa-mir-769","tamoxifen"
"BRCA1","hsa-mir-660","mifepristone"
"BRCA1","hsa-mir-660","tamoxifen"
"BRCA2","hsa-mir-4657","docetaxel"
"BRCA2","hsa-mir-4657","tamoxifen"
"BRCA2","hsa-mir-4657","cisplatin"
"C1R","hsa-mir-136","magnesium"
"CA2","hsa-mir-26a-1","acetazolamide"
"CA2","hsa-mir-26a-1","dichlorphenamide"
"CA2","hsa-mir-26a-1","methazolamide"
"CA2","hsa-mir-26a-2","acetazolamide"
"CA2","hsa-mir-26a-2","dichlorphenamide"
"CA2","hsa-mir-26a-2","methazolamide"
"CALM3","hsa-mir-33a","glucose"
"CALM3","hsa-mir-33a","tetrahydrobiopterin"
"CALM3","hsa-mir-33a","tacrolimus"
"CAMK2B","hsa-mir-5690","prednisone"
"CAMK2B","hsa-mir-5690","triamcinolone"
"CAMK2B","hsa-mir-5690","chloroquine"
"CAMK2B","hsa-mir-5690","beclomethasone"
"CAMK2B","hsa-mir-5690","tacrolimus"
"CAMK2B","hsa-mir-5690","hydrocortisone"
"CAMK2B","hsa-mir-5690","flunisolide"
"CAMK2B","hsa-mir-5690","desonide"
"CAMK2B","hsa-mir-5690","dopamine"
"CAMK2B","hsa-mir-5690","prednisolone"
"CAMK2B","hsa-mir-5690","methylprednisolone"
"CAMK2B","hsa-mir-5690","budesonide"
"CAMK2B","hsa-mir-5690","dexamethasone"
"CAP1","hsa-mir-4733","progesterone"
"CASP3","hsa-mir-181a-1","doxorubicin"
"CASP3","hsa-mir-181a-1","paclitaxel"
"CASP3","hsa-mir-181a-1","celecoxib"
"CASP3","hsa-mir-181a-1","ibuprofen"
"CASP3","hsa-mir-181a-1","tacrolimus"
"CASP3","hsa-mir-181a-1","thalidomide"
"CASP3","hsa-mir-181b-1","doxorubicin"
"CASP3","hsa-mir-181b-1","paclitaxel"
"CASP3","hsa-mir-181b-1","celecoxib"
"CASP3","hsa-mir-181b-1","ibuprofen"
"CASP3","hsa-mir-181b-1","tacrolimus"
"CASP3","hsa-mir-181b-1","thalidomide"
"CASP3","hsa-mir-17","doxorubicin"
"CASP3","hsa-mir-17","paclitaxel"
"CASP3","hsa-mir-17","celecoxib"
"CASP3","hsa-mir-17","ibuprofen"
"CASP3","hsa-mir-17","tacrolimus"
"CASP3","hsa-mir-17","thalidomide"
"CASP3","hsa-mir-181a-2","doxorubicin"
"CASP3","hsa-mir-181a-2","paclitaxel"
"CASP3","hsa-mir-181a-2","celecoxib"
"CASP3","hsa-mir-181a-2","ibuprofen"
"CASP3","hsa-mir-181a-2","tacrolimus"
"CASP3","hsa-mir-181a-2","thalidomide"
"CASP6","hsa-mir-3934","celecoxib"
"CASP6","hsa-mir-101-1","celecoxib"
"CASP6","hsa-mir-6506","celecoxib"
"CASP7","hsa-mir-1307","ibuprofen"
"CASP9","hsa-mir-133a-2","ibuprofen"
"CASP9","hsa-mir-133a-2","celecoxib"
"CAV1","hsa-mir-92a-2","prednisolone"
"CAV1","hsa-mir-92a-2","tetrahydrobiopterin"
"CAV1","hsa-mir-92a-2","triamcinolone"
"CAV1","hsa-mir-92a-2","methylprednisolone"
"CAV1","hsa-mir-92a-2","prednisone"
"CAV1","hsa-mir-92a-2","beclomethasone"
"CAV1","hsa-mir-92a-2","desonide"
"CAV1","hsa-mir-92a-2","budesonide"
"CAV1","hsa-mir-92a-2","hydrocortisone"
"CAV1","hsa-mir-92a-2","flunisolide"
"CAV1","hsa-mir-92a-2","dexamethasone"
"CCL2","hsa-mir-451a","prednisolone"
"CCNA2","hsa-mir-147b","celecoxib"
"CCNA2","hsa-mir-33b","celecoxib"
"CCNB1","hsa-mir-1284","estradiol"
"CCNB1","hsa-mir-1284","celecoxib"
"CCNB1","hsa-mir-1284","letrozole"
"CCNB1","hsa-mir-1284","estrone"
"CCNB1","hsa-mir-1284","progesterone"
"CCND1","hsa-mir-33b","celecoxib"
"CCND1","hsa-mir-33b","letrozole"
"CCND1","hsa-mir-33b","metformin"
"CCNG1","hsa-mir-6737","doxorubicin"
"CD3G","hsa-mir-6718","tacrolimus"
"CD4","hsa-mir-3653","tacrolimus"
"CD4","hsa-mir-361","tacrolimus"
"CD40LG","hsa-mir-150","tacrolimus"
"CD44","hsa-mir-548k","doxorubicin"
"CD44","hsa-mir-548k","cisplatin"
"CD44","hsa-mir-548k","paclitaxel"
"CDC25A","hsa-mir-484","ibuprofen"
"CDC25B","hsa-mir-3174","ibuprofen"
"CDH1","hsa-mir-181b-1","estradiol"
"CDH1","hsa-mir-181b-1","estrone"
"CDK5R1","hsa-mir-218-1","dopamine"
"CDK5R1","hsa-mir-423","dopamine"
"CDKN1A","hsa-mir-34a","tacrolimus"
"CDKN1A","hsa-mir-34a","cyclophosphamide"
"CDKN1A","hsa-mir-34a","cisplatin"
"CDKN1A","hsa-mir-34a","gemcitabine"
"CDKN1A","hsa-mir-34a","celecoxib"
"CDKN1A","hsa-mir-34a","docetaxel"
"CDKN1A","hsa-mir-34a","methotrexate"
"CDKN1A","hsa-mir-34a","paclitaxel"
"CDKN1A","hsa-mir-34a","metformin"
"CDKN1A","hsa-mir-34a","ibuprofen"
"CDKN2A","hsa-mir-196b","gemcitabine"
"CDKN2A","hsa-mir-196b","troglitazone"
"CDKN2A","hsa-mir-196b","busulfan"
"CDKN2A","hsa-mir-196b","cisplatin"
"CDKN2A","hsa-mir-548d-2","gemcitabine"
"CDKN2A","hsa-mir-548d-2","troglitazone"
"CDKN2A","hsa-mir-548d-2","busulfan"
"CDKN2A","hsa-mir-548d-2","cisplatin"
"CDKN2A","hsa-mir-4748","gemcitabine"
"CDKN2A","hsa-mir-4748","troglitazone"
"CDKN2A","hsa-mir-4748","busulfan"
"CDKN2A","hsa-mir-4748","cisplatin"
"CEBPD","hsa-mir-370","prednisolone"
"CES1","hsa-mir-509-3","trandolapril"
"CES1","hsa-mir-509-3","isoniazid"
"CES1","hsa-mir-509-3","irinotecan"
"CES1","hsa-mir-509-3","methylphenidate"
"CES1","hsa-mir-509-3","oseltamivir"
"CHEK1","hsa-let-7c","thalidomide"
"CHRNA7","hsa-mir-605","acetylcholine"
"CHST1","hsa-mir-5581","methotrexate"
"CLU","hsa-mir-4714","gemcitabine"
"CMPK1","hsa-mir-6842","gemcitabine"
"CMPK1","hsa-mir-6842","cytarabine"
"CNOT8","hsa-mir-132","methotrexate"
"CNR1","hsa-mir-675","cocaine"
"CNR1","hsa-mir-570","cocaine"
"CPLX1","hsa-mir-28","dopamine"
"CPOX","hsa-mir-3614","glycine"
"CPOX","hsa-mir-4724","glycine"
"CPOX","hsa-mir-23c","glycine"
"CPT2","hsa-mir-1301","atorvastatin"
"CPT2","hsa-mir-1301","cerivastatin"
"CPT2","hsa-mir-1301","fluvastatin"
"CPT2","hsa-mir-1301","pravastatin"
"CRKL","hsa-mir-185","imatinib"
"CRKL","hsa-mir-185","chloroquine"
"CSF1","hsa-mir-548f-1","cisplatin"
"CSF1","hsa-mir-195","cisplatin"
"CSNK1D","hsa-mir-194-1","dopamine"
"CSNK1D","hsa-mir-4482","dopamine"
"CYP51A1","hsa-mir-148b","estrone"
"CYP51A1","hsa-mir-148b","progesterone"
"CYP51A1","hsa-mir-581","estrone"
"CYP51A1","hsa-mir-581","progesterone"
"CYP7B1","hsa-mir-222","progesterone"
"CYP7B1","hsa-mir-222","estrone"
"CYP7B1","hsa-mir-150","progesterone"
"CYP7B1","hsa-mir-150","estrone"
"DBH","hsa-mir-29b-1","tetrahydrobiopterin"
"DBH","hsa-mir-29b-1","bupropion"
"DBH","hsa-mir-29b-1","dopamine"
"DBH","hsa-mir-29b-1","disulfiram"
"DBH","hsa-mir-29b-1","norepinephrine"
"DBH","hsa-mir-29b-2","tetrahydrobiopterin"
"DBH","hsa-mir-29b-2","bupropion"
"DBH","hsa-mir-29b-2","dopamine"
"DBH","hsa-mir-29b-2","disulfiram"
"DBH","hsa-mir-29b-2","norepinephrine"
"DBI","hsa-mir-32","flunitrazepam"
"DBI","hsa-mir-32","diazepam"
"DBI","hsa-mir-6506","flunitrazepam"
"DBI","hsa-mir-6506","diazepam"
"DBI","hsa-mir-193a","flunitrazepam"
"DBI","hsa-mir-193a","diazepam"
"DCLRE1B","hsa-mir-197","thalidomide"
"DCLRE1B","hsa-mir-378a","thalidomide"
"DCN","hsa-mir-508","letrozole"
"DCN","hsa-mir-142","letrozole"
"DHODH","hsa-mir-6805","leflunomide"
"DKK3","hsa-mir-4638","letrozole"
"DNAJB1","hsa-mir-212","cytarabine"
"DTL","hsa-mir-197","methotrexate"
"EBF3","hsa-mir-6510","cisplatin"
"EBF3","hsa-mir-23b","cisplatin"
"EDN1","hsa-mir-3126","tacrolimus"
"EDN1","hsa-mir-3126","glucose"
"EFNB2","hsa-mir-4522","methotrexate"
"EGFR","hsa-mir-4784","irinotecan"
"EGFR","hsa-mir-4784","chloroquine"
"EGFR","hsa-mir-4784","docetaxel"
"EGFR","hsa-mir-4784","gemcitabine"
"EGFR","hsa-mir-4784","cisplatin"
"ELK1","hsa-mir-651","tacrolimus"
"EPC2","hsa-mir-221","gemcitabine"
"EPM2AIP1","hsa-mir-508","procarbazine"
"EPO","hsa-mir-1228","imatinib"
"EPO","hsa-mir-1228","glucose"
"ERBB2","hsa-mir-642a","toremifene"
"ERBB2","hsa-mir-642a","etoposide"
"ERBB2","hsa-mir-642a","irinotecan"
"ERBB2","hsa-mir-642a","metformin"
"ERBB2","hsa-mir-642a","paclitaxel"
"ERBB2","hsa-mir-642a","tamoxifen"
"ERBB2","hsa-mir-642a","methotrexate"
"ERBB2","hsa-mir-642a","topotecan"
"ERBB2","hsa-mir-642a","cisplatin"
"ERBB2","hsa-mir-642a","doxorubicin"
"ERBB2","hsa-mir-642a","estradiol"
"ERBB2","hsa-mir-642a","docetaxel"
"ERBB2","hsa-mir-642a","cyclophosphamide"
"ERBB2","hsa-mir-642a","gemcitabine"
"ERBB4","hsa-mir-877","doxorubicin"
"ERCC1","hsa-mir-181a-1","leucovorin"
"ERCC1","hsa-mir-181a-1","cyclophosphamide"
"ERCC1","hsa-mir-181a-1","irinotecan"
"ERCC1","hsa-mir-181a-1","gemcitabine"
"ERCC1","hsa-mir-181a-1","oxaliplatin"
"ERCC1","hsa-mir-181a-1","cisplatin"
"ERCC5","hsa-mir-769","cisplatin"
"ERCC6","hsa-mir-320c-2","thalidomide"
"ERCC6","hsa-mir-5091","thalidomide"
"ESR2","hsa-mir-127","tamoxifen"
"ESR2","hsa-mir-127","alendronate"
"ESRRG","hsa-mir-627","fenofibrate"
"ETV5","hsa-mir-30a","methotrexate"
"ETV5","hsa-mir-30c-2","methotrexate"
"FASLG","hsa-mir-3174","tacrolimus"
"FASLG","hsa-mir-183","tacrolimus"
"FASLG","hsa-mir-155","tacrolimus"
"FDPS","hsa-mir-642a","alendronate"
"FDPS","hsa-mir-642a","raloxifene"
"FDPS","hsa-mir-642a","risedronate"
"FDPS","hsa-mir-642a","pamidronate"
"FDPS","hsa-mir-33a","alendronate"
"FDPS","hsa-mir-33a","raloxifene"
"FDPS","hsa-mir-33a","risedronate"
"FDPS","hsa-mir-33a","pamidronate"
"FEN1","hsa-mir-6726","ibuprofen"
"FEN1","hsa-mir-197","ibuprofen"
"FEN1","hsa-mir-133b","ibuprofen"
"FEN1","hsa-mir-7-1","ibuprofen"
"FGFR4","hsa-mir-100","methotrexate"
"FGFR4","hsa-mir-100","tamoxifen"
"FGFR4","hsa-mir-100","cisplatin"
"FGFR4","hsa-mir-100","cyclophosphamide"
"FKBP5","hsa-mir-1256","desipramine"
"FKBP5","hsa-mir-1256","citalopram"
"FKBP5","hsa-mir-1256","mirtazapine"
"FKBP5","hsa-mir-1256","fluoxetine"
"FKBP5","hsa-mir-1256","venlafaxine"
"FKBP5","hsa-mir-1256","prednisolone"
"FLOT1","hsa-mir-186","carbamazepine"
"FLOT1","hsa-mir-186","phenytoin"
"FMO2","hsa-mir-486-2","tamoxifen"
"FMO2","hsa-mir-6516","tamoxifen"
"FOXO3","hsa-mir-487a","doxorubicin"
"FOXO3","hsa-mir-487a","etoposide"
"FOXO3","hsa-mir-487a","paclitaxel"
"FOXO3","hsa-mir-487a","imatinib"
"FYN","hsa-mir-653","tacrolimus"
"GAB1","hsa-mir-147b","imatinib"
"GABRA3","hsa-mir-3655","flumazenil"
"GADD45A","hsa-mir-5008","ibuprofen"
"GADD45G","hsa-mir-1538","ibuprofen"
"GATA4","hsa-mir-3615","tacrolimus"
"GBE1","hsa-mir-3677","methotrexate"
"GBF1","hsa-mir-1307","methotrexate"
"GDF11","hsa-mir-181d","methotrexate"
"GDF11","hsa-mir-7-2","methotrexate"
"GIT1","hsa-mir-423","cytarabine"
"GIT1","hsa-mir-3614","cytarabine"
"GNAI3","hsa-mir-197","salmeterol"
"GNAQ","hsa-mir-32","chloroquine"
"GNAQ","hsa-mir-32","tacrolimus"
"GOLGA2","hsa-mir-4461","methotrexate"
"GOLGA2","hsa-mir-219b","methotrexate"
"GPR137B","hsa-mir-410","methotrexate"
"GPR137B","hsa-mir-193b","methotrexate"
"GPX3","hsa-mir-874","cisplatin"
"GRIA3","hsa-mir-320d-1","citalopram"
"GSTA4","hsa-mir-382","docetaxel"
"GSTA4","hsa-mir-382","cisplatin"
"GSTM4","hsa-mir-581","cisplatin"
"GSTM4","hsa-mir-1537","cisplatin"
"GTF2A1","hsa-mir-105-1","budesonide"
"GTF2A1","hsa-mir-105-1","triamcinolone"
"GTF2A1","hsa-mir-105-1","prednisone"
"GTF2A1","hsa-mir-105-1","estrone"
